MMM,175.3699951171875
ABT,86.66000366210938
ABBV,89.29000091552734
ABMD,162.88999938964844
ACN,211.10000610351562
ATVI,59.220001220703125
ADBE,327.6099853515625
AMD,44.150001525878906
AAP,158.1199951171875
AES,19.809999465942383
AMG,84.5
AFL,53.13999938964844
A,85.19000244140625
APD,235.0
AKAM,86.86000061035156
ALK,69.33999633789062
ALB,70.36000061035156
ARE,159.24000549316406
ALXN,109.75
ALGN,272.8900146484375
ALLE,124.19999694824219
AGN,190.3000030517578
ADS,111.29000091552734
LNT,54.95000076293945
ALL,111.58000183105469
GOOGL,1351.219970703125
GOOG,1349.5899658203125
MO,51.130001068115234
AMZN,1786.5
AEE,76.56999969482422
AAL,29.040000915527344
AEP,94.9000015258789
AXP,125.7699966430664
AIG,51.540000915527344
AMT,227.74000549316406
AWK,122.72000122070312
AMP,168.08999633789062
ABC,85.66999816894531
AME,99.77999877929688
AMGN,243.05999755859375
APH,107.1500015258789
ADI,119.81999969482422
ANSS,258.8900146484375
ANTM,303.0
AON,209.92999267578125
AOS,47.41999816894531
APA,22.6200008392334
AIV,50.709999084472656
AAPL,279.44000244140625
AMAT,61.810001373291016
APTV,96.3499984741211
ADM,45.790000915527344
ARNC,31.389999389648438
ANET,206.14999389648438
AJG,95.41999816894531
AIZ,131.25999450683594
ATO,112.26000213623047
T,39.150001525878906
ADSK,182.83999633789062
ADP,171.08999633789062
AZO,1226.739990234375
AVB,208.00999450683594
AVY,131.9199981689453
BLL,65.18000030517578
BAC,34.959999084472656
BK,50.630001068115234
BAX,82.48999786376953
BDX,271.6600036621094
BBY,87.7300033569336
BIIB,301.04998779296875
BLK,499.5899963378906
HRB,23.6299991607666
BA,328.0
BKNG,2023.260009765625
BWA,44.220001220703125
BXP,135.77999877929688
BSX,45.369998931884766
BMY,63.5099983215332
AVGO,319.0
BR,123.61000061035156
CHRW,76.80000305175781
COG,17.40999984741211
CDNS,70.08999633789062
CPB,49.16999816894531
COF,103.37000274658203
CPRI,38.150001525878906
CAH,51.79999923706055
KMX,92.70999908447266
CCL,50.209999084472656
CAT,147.57000732421875
CBOE,119.0199966430664
CBRE,60.63999938964844
CE,123.3499984741211
CNC,61.93000030517578
CNP,26.729999542236328
CTL,13.220000267028809
CERN,73.26000213623047
CF,48.279998779296875
SCHW,48.119998931884766
CHTR,476.2200012207031
CVX,119.68000030517578
CMG,834.530029296875
CB,155.5399932861328
CHD,70.25
CI,204.58999633789062
XEC,51.20000076293945
CINF,104.12999725341797
CTAS,271.5
CSCO,47.45000076293945
C,78.51000213623047
CFG,40.540000915527344
CTXS,111.05999755859375
CLX,152.66000366210938
CME,202.52000427246094
CMS,63.099998474121094
KO,54.970001220703125
CTSH,63.220001220703125
CL,68.8499984741211
CMCSA,44.09000015258789
CMA,71.80999755859375
CAG,35.06999969482422
CXO,83.51000213623047
COP,63.720001220703125
ED,90.62999725341797
STZ,188.89999389648438
COO,319.0899963378906
CPRT,90.72000122070312
GLW,29.010000228881836
COST,294.8299865722656
COTY,11.479999542236328
CCI,142.0
CSX,73.18000030517578
CMI,181.11000061035156
CVS,74.58000183105469
DHI,53.689998626708984
DHR,152.85000610351562
DRI,110.23999786376953
DVA,73.69999694824219
DE,174.64999389648438
DAL,58.970001220703125
XRAY,56.849998474121094
DVN,25.469999313354492
FANG,88.0199966430664
DLR,118.0199966430664
DFS,86.69999694824219
DISCA,32.95000076293945
DISCK,30.780000686645508
DISH,36.060001373291016
DG,156.7100067138672
DLTR,94.05999755859375
D,82.31999969482422
DOV,114.98999786376953
DOW,54.61000061035156
DTE,129.86000061035156
DRE,34.2400016784668
DUK,90.62000274658203
DXC,37.58000183105469
ETFC,45.70000076293945
EMN,78.56999969482422
ETN,94.4000015258789
EBAY,36.189998626708984
ECL,191.22000122070312
EIX,75.19000244140625
EW,236.38999938964844
EA,107.94999694824219
EMR,76.2699966430664
ETR,120.16999816894531
EOG,82.66000366210938
EFX,138.61000061035156
EQIX,577.7100219726562
EQR,80.30000305175781
ESS,297.3500061035156
EL,206.86000061035156
EVRG,64.12000274658203
ES,84.58999633789062
RE,277.2799987792969
EXC,45.45000076293945
EXPE,110.08000183105469
EXPD,76.44999694824219
EXR,104.47000122070312
XOM,69.94000244140625
FFIV,138.32000732421875
FB,206.3000030517578
FAST,37.119998931884766
FRT,127.22000122070312
FDX,148.1199951171875
FIS,138.8000030517578
FITB,31.149999618530273
FE,48.81999969482422
FRC,117.02999877929688
FISV,116.66999816894531
FLT,290.29998779296875
FLIR,52.43000030517578
FLS,49.88999938964844
FLR,18.360000610351562
FMC,99.04000091552734
FL,39.93000030517578
F,9.479999542236328
FTNT,106.91999816894531
FTV,75.73999786376953
FBHS,65.30000305175781
FOXA,37.16999816894531
FOX,36.220001220703125
BEN,25.799999237060547
FCX,12.710000038146973
GPS,17.59000015258789
GRMN,98.68000030517578
IT,153.0500030517578
GD,178.3300018310547
GE,11.029999732971191
GIS,53.279998779296875
GM,37.25
GPC,105.98999786376953
GILD,66.8499984741211
GPN,183.4499969482422
GS,228.92999267578125
GWW,337.5899963378906
HAL,24.489999771118164
HBI,14.619999885559082
HOG,37.43000030517578
HIG,60.90999984741211
HAS,103.58999633789062
HCA,147.52999877929688
HP,44.20000076293945
HSIC,66.66000366210938
HSY,147.44000244140625
HES,64.83999633789062
HPE,15.579999923706055
HLT,111.41999816894531
HFC,51.459999084472656
HOLX,52.02000045776367
HD,221.19000244140625
HON,176.41000366210938
HRL,44.959999084472656
HST,18.709999084472656
HPQ,20.559999465942383
